,AIR.PA,SAF.PA,SU.PA,SIE.DE,ENR.DE,ABBN.SW,ALO.PA,MT.AS,RNO.PA,VOW3.DE,PRY.MI,SAND.ST
2024-11-18,133.0360,213.4666,231.7463,176.0506,45.4462,47.6307,22.2100,23.5042,37.0754,73.8240,59.7236,195.9692
2024-11-19,131.8069,213.1733,231.1659,170.1567,45.5059,47.3697,21.2700,23.4067,36.8361,72.9797,58.4367,193.5781
2024-11-20,132.3639,213.2710,229.0381,168.9320,45.4263,47.4084,21.3100,23.2312,36.0118,71.9067,59.0412,192.3348
2024-11-21,133.9579,214.5423,232.2299,168.3962,47.0693,47.9206,20.8900,23.3092,35.9409,71.4494,59.6846,193.4825
2024-11-22,132.4599,215.2268,233.8258,169.8888,48.1447,48.4812,21.0500,23.3872,35.7282,71.9419,60.3671,193.7694
2024-11-25,132.8248,213.3688,232.4717,173.0080,49.0409,48.2879,21.1600,23.2897,35.3913,72.4696,61.2445,194.3433
2024-11-26,131.2691,213.3688,231.2143,172.5296,48.1547,47.8820,20.9000,22.4123,35.0368,70.7458,60.2501,192.2392
2024-11-27,133.8427,212.7821,229.8602,171.2475,48.3638,47.3794,20.6900,22.5683,34.7886,70.6403,60.6010,191.6653
2024-11-28,139.3738,214.2489,231.5045,173.0654,50.1262,47.8240,20.9400,23.0265,35.1343,70.9041,60.9910,192.4305
2024-11-29,141.6977,215.6179,235.5184,175.2469,50.8034,48.5972,21.2900,23.2409,35.9231,70.9921,60.8545,192.9087
2024-12-02,144.5401,216.8891,235.1316,179.9926,51.2813,49.3124,20.4000,23.5626,35.1875,70.9393,61.4590,197.3082
2024-12-03,146.0381,222.2673,235.8570,181.9827,51.0224,49.5444,20.1900,23.3482,35.1964,70.6755,62.7459,200.3687
2024-12-04,148.0931,223.5386,240.9349,183.6093,51.2813,50.3756,21.1500,23.0362,36.9070,71.5725,63.3308,202.0902
2024-12-05,147.4401,207.2083,240.4996,184.7191,52.7949,50.3176,21.5900,23.4262,37.7667,72.2761,62.7849,202.1859
2024-12-06,148.9958,208.1862,243.4497,185.3315,51.6398,50.2596,21.5500,23.5431,38.7240,73.1204,62.8824,203.6205
2024-12-09,150.7243,205.7415,240.1611,185.7525,51.4207,50.2016,21.4800,24.0013,38.7860,74.1758,60.2501,206.3941
2024-12-10,149.9944,201.3412,234.7930,184.5469,49.1803,49.5637,22.0700,23.9623,39.0874,75.6006,60.6595,204.0031
2024-12-11,150.0329,205.6438,239.6291,187.0729,50.8432,50.2016,22.1300,23.9721,39.0696,75.7237,61.8099,203.9074
2024-12-12,153.5475,203.4925,236.6791,185.6185,48.8517,50.0857,22.1000,23.6699,39.0962,76.3745,60.2501,200.5600
2024-12-13,153.8547,204.4703,236.6791,183.1117,48.6724,49.8730,22.1500,23.1337,39.6812,77.4123,60.1331,199.4123
2024-12-16,151.5885,205.7415,236.6308,182.0975,50.8830,50.2403,22.4500,23.0167,39.2824,75.8468,60.8350,195.9692
2024-12-17,152.2415,207.0127,237.8398,184.5852,50.8830,50.1437,22.2700,22.3343,39.4419,76.2162,59.5481,196.4474
2024-12-18,152.5488,209.3596,240.0160,186.3074,51.0025,49.7957,22.2400,22.2758,41.4982,77.0781,60.2891,196.4474
2024-12-19,150.3017,206.5238,232.7619,181.2556,49.7877,47.0991,21.9800,21.8956,41.0196,76.7967,59.5676,191.2828
2024-12-20,148.6309,205.3504,231.8914,181.0833,50.4847,47.2247,21.9200,21.7006,41.4982,78.0983,59.5481,190.3263
2024-12-23,147.7858,204.9593,231.2627,180.8154,50.9029,47.5437,21.8400,21.5739,41.0018,76.5504,59.9966,190.0394
